timestamp,date,time,vehicle_type,direction,vehicle_id,total_in,total_out
2026-01-21T01:32:42.029882,2026-01-21,01:32:42,car,ENTRY,1104,100,92
2026-01-21T01:32:42.970609,2026-01-21,01:32:42,car,EXIT,1106,100,93
2026-01-21T01:32:43.572948,2026-01-21,01:32:43,car,ENTRY,1106,101,93
2026-01-21T01:32:43.773766,2026-01-21,01:32:43,car,ENTRY,1106,102,94
2026-01-21T01:32:43.774881,2026-01-21,01:32:43,motorcycle,EXIT,1106,102,94
2026-01-21T01:32:44.511821,2026-01-21,01:32:44,motorcycle,EXIT,1112,102,95
2026-01-21T01:32:44.715721,2026-01-21,01:32:44,car,EXIT,1115,103,96
2026-01-21T01:32:44.717051,2026-01-21,01:32:44,motorcycle,ENTRY,1115,103,96
2026-01-21T01:32:46.931956,2026-01-21,01:32:46,motorcycle,ENTRY,1159,104,96
2026-01-21T01:32:47.537684,2026-01-21,01:32:47,car,EXIT,1168,104,97
2026-01-21T01:32:47.868280,2026-01-21,01:32:47,motorcycle,EXIT,1174,104,98
2026-01-21T01:32:48.001035,2026-01-21,01:32:48,motorcycle,ENTRY,1174,105,98
2026-01-21T01:32:48.871433,2026-01-21,01:32:48,car,ENTRY,1183,106,98
2026-01-21T01:32:50.478553,2026-01-21,01:32:50,car,ENTRY,1198,107,98
2026-01-21T01:32:52.618126,2026-01-21,01:32:52,bus,EXIT,1200,107,99
2026-01-21T01:32:53.622684,2026-01-21,01:32:53,bus,EXIT,1202,107,100
2026-01-21T01:32:56.105739,2026-01-21,01:32:56,truck,ENTRY,1214,108,100
2026-01-21T01:32:56.574515,2026-01-21,01:32:56,truck,ENTRY,1214,109,100
2026-01-21T01:32:57.916262,2026-01-21,01:32:57,truck,ENTRY,1218,110,100
2026-01-21T01:32:58.187117,2026-01-21,01:32:58,car,ENTRY,1222,111,100
2026-01-21T01:32:58.719111,2026-01-21,01:32:58,car,EXIT,1227,111,101
2026-01-21T01:32:59.657506,2026-01-21,01:32:59,truck,ENTRY,1228,112,101
2026-01-21T01:33:00.061031,2026-01-21,01:33:00,car,EXIT,1230,112,102
2026-01-21T01:33:00.127778,2026-01-21,01:33:00,car,ENTRY,1230,113,102
2026-01-21T01:33:00.927997,2026-01-21,01:33:00,car,EXIT,1230,113,103
2026-01-21T01:33:02.740755,2026-01-21,01:33:02,truck,EXIT,1247,113,104
2026-01-21T01:33:03.543977,2026-01-21,01:33:03,truck,ENTRY,1249,114,104
2026-01-21T01:33:03.745724,2026-01-21,01:33:03,motorcycle,EXIT,1249,114,105
2026-01-21T01:33:04.412500,2026-01-21,01:33:04,motorcycle,EXIT,1249,114,106
2026-01-21T01:33:06.024398,2026-01-21,01:33:06,car,EXIT,1261,114,107
2026-01-21T01:33:06.764702,2026-01-21,01:33:06,car,EXIT,1272,114,108
2026-01-21T01:33:06.831771,2026-01-21,01:33:06,truck,ENTRY,1273,115,108
2026-01-21T01:33:07.237207,2026-01-21,01:33:07,truck,ENTRY,1278,116,108
2026-01-21T01:33:09.178629,2026-01-21,01:33:09,car,EXIT,1307,116,109
2026-01-21T01:33:13.732739,2026-01-21,01:33:13,motorcycle,EXIT,1327,116,110
2026-01-21T01:33:14.470201,2026-01-21,01:33:14,car,ENTRY,1327,117,110
2026-01-21T01:33:15.744026,2026-01-21,01:33:15,bus,ENTRY,1329,118,110
2026-01-21T01:33:15.811379,2026-01-21,01:33:15,car,ENTRY,1329,119,111
2026-01-21T01:33:15.812728,2026-01-21,01:33:15,bus,EXIT,1329,119,111
2026-01-21T01:33:16.616232,2026-01-21,01:33:16,motorcycle,EXIT,1329,119,112
2026-01-21T01:33:17.286473,2026-01-21,01:33:17,car,EXIT,1330,119,113
2026-01-21T01:33:19.771361,2026-01-21,01:33:19,car,EXIT,1339,119,114
2026-01-21T01:33:21.316563,2026-01-21,01:33:21,motorcycle,ENTRY,1362,120,114
2026-01-21T01:33:21.384769,2026-01-21,01:33:21,car,EXIT,1362,120,115
2026-01-21T01:33:22.052152,2026-01-21,01:33:22,car,ENTRY,1363,121,115
2026-01-21T01:33:22.119530,2026-01-21,01:33:22,motorcycle,ENTRY,1363,122,115
2026-01-21T01:33:23.859088,2026-01-21,01:33:23,car,EXIT,1371,122,116
2026-01-21T01:33:23.994156,2026-01-21,01:33:23,car,ENTRY,1371,123,116
2026-01-21T01:33:24.463769,2026-01-21,01:33:24,car,EXIT,1372,123,117
2026-01-21T01:33:24.729837,2026-01-21,01:33:24,car,EXIT,1372,123,118
2026-01-21T01:33:24.930421,2026-01-21,01:33:24,bus,EXIT,1372,123,119
2026-01-21T01:33:25.469222,2026-01-21,01:33:25,motorcycle,ENTRY,1380,124,119
2026-01-21T01:33:26.409757,2026-01-21,01:33:26,bus,EXIT,1381,124,120
2026-01-21T01:33:29.957916,2026-01-21,01:33:29,car,EXIT,1384,124,122
2026-01-21T01:33:29.959038,2026-01-21,01:33:29,motorcycle,EXIT,1384,124,122
2026-01-21T01:33:30.494640,2026-01-21,01:33:30,truck,ENTRY,1384,125,122
